(GMT-12:00) Etc/GMT+12
(GMT-11:00) Etc/GMT+11
(GMT-11:00) Pacific/Midway
(GMT-11:00) Pacific/Niue
(GMT-11:00) Pacific/Pago_Pago
(GMT-10:00) Etc/GMT+10
(GMT-10:00) HST
(GMT-10:00) Pacific/Honolulu
(GMT-10:00) Pacific/Rarotonga
(GMT-10:00) Pacific/Tahiti
(GMT-09:00) America/Adak
(GMT-09:00) Etc/GMT+9
(GMT-09:00) Pacific/Gambier
(GMT-09:30) Pacific/Marquesas
(GMT-08:00) America/Anchorage
(GMT-08:00) America/Juneau
(GMT-08:00) America/Metlakatla
(GMT-08:00) America/Nome
(GMT-08:00) America/Sitka
(GMT-08:00) America/Yakutat
(GMT-08:00) Etc/GMT+8
(GMT-08:00) Pacific/Pitcairn
(GMT-07:00) America/Creston
(GMT-07:00) America/Dawson
(GMT-07:00) America/Dawson_Creek
(GMT-07:00) America/Fort_Nelson
(GMT-07:00) America/Hermosillo
(GMT-07:00) America/Los_Angeles
(GMT-07:00) America/Phoenix
(GMT-07:00) America/Tijuana
(GMT-07:00) America/Vancouver
(GMT-07:00) America/Whitehorse
(GMT-07:00) Etc/GMT+7
(GMT-07:00) MST
(GMT-07:00) PST8PDT
(GMT-06:00) America/Belize
(GMT-06:00) America/Boise
(GMT-06:00) America/Cambridge_Bay
(GMT-06:00) America/Chihuahua
(GMT-06:00) America/Costa_Rica
(GMT-06:00) America/Denver
(GMT-06:00) America/Edmonton
(GMT-06:00) America/El_Salvador
(GMT-06:00) America/Guatemala
(GMT-06:00) America/Inuvik
(GMT-06:00) America/Managua
(GMT-06:00) America/Mazatlan
(GMT-06:00) America/Ojinaga
(GMT-06:00) America/Regina
(GMT-06:00) America/Swift_Current
(GMT-06:00) America/Tegucigalpa
(GMT-06:00) America/Yellowknife
(GMT-06:00) Etc/GMT+6
(GMT-06:00) MST7MDT
(GMT-06:00) Pacific/Easter
(GMT-06:00) Pacific/Galapagos
(GMT-05:00) America/Atikokan
(GMT-05:00) America/Bahia_Banderas
(GMT-05:00) America/Bogota
(GMT-05:00) America/Cancun
(GMT-05:00) America/Cayman
(GMT-05:00) America/Chicago
(GMT-05:00) America/Eirunepe
(GMT-05:00) America/Guayaquil
(GMT-05:00) America/Indiana/Knox
(GMT-05:00) America/Indiana/Tell_City
(GMT-05:00) America/Jamaica
(GMT-05:00) America/Lima
(GMT-05:00) America/Matamoros
(GMT-05:00) America/Menominee
(GMT-05:00) America/Merida
(GMT-05:00) America/Mexico_City
(GMT-05:00) America/Monterrey
(GMT-05:00) America/North_Dakota/Beulah
(GMT-05:00) America/North_Dakota/Center
(GMT-05:00) America/North_Dakota/New_Salem
(GMT-05:00) America/Panama
(GMT-05:00) America/Rainy_River
(GMT-05:00) America/Rankin_Inlet
(GMT-05:00) America/Resolute
(GMT-05:00) America/Rio_Branco
(GMT-05:00) America/Winnipeg
(GMT-05:00) CST6CDT
(GMT-05:00) EST
